cidade,municipo,zona,secao,polling_place,lula_voto,lula_pct,bolsonaro_voto,bolsonaro_pct,eligible_voters,attending_voters,noshow_voters,turnout_pct,valid_votes,valid_pct,votos_legenda,blank_votes,null_votes,votes_counted,machine_type
Abidjã,29254,0001,0001,,26,0.6341463414634146,15,0.36585365853658536,77,43,34,0.5584415584415584,41,0.9534883720930233,0,2,0,43,Sistema de Apuração (Votação totalmente manual - Cédulas)
Abu Dhabi,29262,0001,1977,1015,78,0.4,117,0.6,409,201,208,0.49144254278728605,195,0.9701492537313433,0,2,4,201,Urna eletrônica
Abu Dhabi,29262,0001,1978,1015,66,0.3333333333333333,132,0.6666666666666666,549,206,343,0.37522768670309653,198,0.9611650485436893,0,2,6,206,Urna eletrônica
Abu Dhabi,29262,0001,1980,1023,144,0.4235294117647059,196,0.5764705882352941,784,364,420,0.4642857142857143,340,0.9340659340659341,0,11,13,364,Urna eletrônica
Abu Dhabi,29262,0001,1981,1023,116,0.4393939393939394,148,0.5606060606060606,509,279,230,0.5481335952848723,264,0.946236559139785,0,11,4,279,Urna eletrônica
Abuja,,0001,2947,,,,,,,,,,,,,,,,
Accra,29270,0001,0003,,14,0.7777777777777778,4,0.2222222222222222,53,18,35,0.33962264150943394,18,1.0,0,0,0,18,Sistema de Apuração (Votação totalmente manual - Cédulas)
Adis Abeba,,0001,3016,,,,,,,,,,,,,,,,
Amsterdã,30457,0001,0652,1015,283,0.7092731829573935,116,0.2907268170426065,793,413,380,0.5208070617906684,399,0.9661016949152542,0,6,8,413,Urna eletrônica
Amsterdã,30457,0001,0653,1015,297,0.684331797235023,137,0.315668202764977,791,451,340,0.5701643489254109,434,0.9623059866962306,0,10,7,451,Urna eletrônica
Amsterdã,30457,0001,0654,1015,289,0.7189054726368159,113,0.2810945273631841,798,422,376,0.5288220551378446,402,0.95260663507109,0,7,13,422,Urna eletrônica
Amsterdã,30457,0001,0655,1015,254,0.6381909547738693,144,0.36180904522613067,798,417,381,0.5225563909774437,398,0.9544364508393285,0,5,14,417,Urna eletrônica
Amsterdã,30457,0001,0659,1015,242,0.6914285714285714,108,0.30857142857142855,794,359,435,0.4521410579345088,350,0.9749303621169917,0,6,3,359,Urna eletrônica
Amsterdã,30457,0001,0670,1015,336,0.7601809954751131,106,0.2398190045248869,797,459,338,0.5759096612296111,442,0.9629629629629629,0,2,15,459,Urna eletrônica
Amsterdã,30457,0001,0671,1015,297,0.7557251908396947,96,0.24427480916030533,790,416,374,0.5265822784810127,393,0.9447115384615384,0,9,14,416,Urna eletrônica
Amsterdã,30457,0001,3001,1015,218,0.7985347985347986,55,0.20146520146520147,519,281,238,0.5414258188824663,273,0.9715302491103203,0,5,3,281,Urna eletrônica
